date,high,low,open,close,adjust,volume,symbol
23-04-14,9,8.5,8.9,8.7,7.46,232490,VIS
24-04-14,8.8,8.6,8.7,8.8,7.54,95110,VIS
25-04-14,8.9,8.7,8.8,8.9,7.63,117000,VIS
28-04-14,9,8.6,8.9,8.8,7.54,43830,VIS
29-04-14,8.9,8.6,8.7,8.8,7.54,116860,VIS
05-05-14,8.8,8.3,8.8,8.3,7.11,270190,VIS
06-05-14,8.3,7.8,8.3,7.8,6.68,323410,VIS
07-05-14,8,7.8,8,7.8,6.68,241920,VIS
08-05-14,7.8,7.3,7.8,7.3,6.26,426210,VIS
09-05-14,7.8,6.9,6.9,7.7,6.6,407710,VIS
12-05-14,7.5,7.2,7.5,7.2,6.17,220420,VIS
13-05-14,7.1,6.7,7,6.7,5.74,342780,VIS
14-05-14,7.1,6.4,6.4,7.1,6.08,311650,VIS
15-05-14,7.5,6.8,7.2,7.4,6.34,513130,VIS
16-05-14,7.6,7.1,7.3,7.6,6.51,106380,VIS
19-05-14,8,7.3,7.8,7.9,6.77,242960,VIS
20-05-14,7.9,7.6,7.8,7.9,6.77,125740,VIS
21-05-14,8.3,7.7,7.8,8.3,7.11,503300,VIS
22-05-14,8.3,7.9,8.1,7.9,6.77,273090,VIS
23-05-14,8,7.6,7.8,7.7,6.6,70320,VIS
26-05-14,7.9,7.7,7.7,7.8,6.68,56500,VIS
27-05-14,8.2,7.8,7.8,8,6.86,435820,VIS
28-05-14,8.1,7.9,8,8,6.86,411220,VIS
29-05-14,8,7.7,7.8,7.9,6.77,74060,VIS
30-05-14,7.9,7.7,7.9,7.8,6.68,72230,VIS
02-06-14,7.8,7.5,7.7,7.5,6.43,137240,VIS
03-06-14,7.8,7.5,7.8,7.5,6.43,99120,VIS
04-06-14,7.5,7.3,7.5,7.4,6.34,169580,VIS
05-06-14,7.6,7.3,7.4,7.5,6.43,23560,VIS
06-06-14,7.6,7.4,7.6,7.6,6.51,30140,VIS
09-06-14,7.8,7.5,7.6,7.6,6.51,171140,VIS
10-06-14,7.7,7.4,7.5,7.4,6.34,19700,VIS
11-06-14,7.7,7.4,7.4,7.7,6.6,89530,VIS
12-06-14,7.7,7.6,7.7,7.7,6.6,34360,VIS
13-06-14,8.2,7.7,7.7,8.2,7.03,1356530,VIS
