date,high,low,open,close,adjust,volume,symbol
08-05-13,13.2,13.2,13.2,13.2,11.95,20,DTL
09-05-13,13.2,13.2,13.2,13.2,11.95,10,DTL
10-05-13,14,13,14,13,11.77,1670,DTL
13-05-13,13,13,13,13,11.77,0,DTL
14-05-13,13.9,12.5,13.9,12.5,11.32,11010,DTL
15-05-13,12.5,12.5,12.5,12.5,11.32,0,DTL
16-05-13,13.2,12.2,13.2,13,11.77,5020,DTL
17-05-13,12.9,12.5,12.5,12.9,11.68,1780,DTL
20-05-13,12.9,12.9,12.9,12.9,11.68,100,DTL
21-05-13,13.8,12.7,13.5,13.8,12.49,7080,DTL
22-05-13,14.7,12.9,14.7,14.4,13.04,19020,DTL
23-05-13,15.4,13.4,14.5,14.4,13.04,5500,DTL
24-05-13,14.2,13.4,14.2,13.4,12.13,24060,DTL
27-05-13,14.3,13.4,13.4,14.3,12.95,110,DTL
28-05-13,13.8,13.3,13.8,13.8,12.49,15010,DTL
29-05-13,14.6,12.9,14.6,12.9,11.68,11920,DTL
30-05-13,12.5,12.5,12.5,12.5,11.32,2360,DTL
31-05-13,12.7,12.5,12.7,12.6,11.41,71030,DTL
03-06-13,12.9,12.7,12.9,12.7,11.5,9020,DTL
04-06-13,13,13,13,13,11.77,5000,DTL
05-06-13,12.9,12.7,12.9,12.7,11.5,4100,DTL
06-06-13,12.7,12.7,12.7,12.7,11.5,0,DTL
07-06-13,13,12.8,12.8,13,11.77,39000,DTL
10-06-13,13,12.9,13,12.9,11.68,8020,DTL
11-06-13,12.9,12.7,12.9,12.7,11.5,10000,DTL
12-06-13,12.7,12.7,12.7,12.7,11.5,0,DTL
13-06-13,12.7,12.7,12.7,12.7,11.5,4000,DTL
14-06-13,12.7,12.7,12.7,12.7,11.5,0,DTL
17-06-13,12.7,12.7,12.7,12.7,11.5,2000,DTL
18-06-13,12.7,12.7,12.7,12.7,11.5,0,DTL
19-06-13,12.7,12.7,12.7,12.7,11.5,2000,DTL
20-06-13,12.7,12.7,12.7,12.7,11.5,1000,DTL
21-06-13,12.7,12.7,12.7,12.7,11.5,0,DTL
24-06-13,12.7,12.7,12.7,12.7,11.5,5000,DTL
25-06-13,12.7,12.3,12.7,12.3,11.14,4010,DTL
26-06-13,12.5,12.3,12.3,12.5,11.32,7000,DTL
27-06-13,12.5,12.5,12.5,12.5,11.32,0,DTL
28-06-13,12.7,12.5,12.5,12.7,11.5,5000,DTL
01-07-13,12.7,12.7,12.7,12.7,11.5,2000,DTL
02-07-13,12.7,12.6,12.6,12.7,11.5,80,DTL
03-07-13,12.7,12.7,12.7,12.7,11.5,5000,DTL
04-07-13,12.7,12.7,12.7,12.7,11.5,0,DTL
05-07-13,12.7,12.7,12.7,12.7,11.5,1000,DTL
08-07-13,12.7,12.7,12.7,12.7,11.5,0,DTL
09-07-13,12.7,12.7,12.7,12.7,11.5,0,DTL
10-07-13,12.7,12.7,12.7,12.7,11.5,0,DTL
11-07-13,12.7,12.7,12.7,12.7,11.5,2000,DTL
12-07-13,12.7,12.7,12.7,12.7,11.5,2000,DTL
15-07-13,12.7,12.7,12.7,12.7,11.5,7000,DTL
16-07-13,12.7,12.7,12.7,12.7,11.5,5000,DTL
17-07-13,12.7,12.7,12.7,12.7,11.5,2000,DTL
18-07-13,12.9,12.7,12.9,12.7,11.5,3000,DTL
19-07-13,12.7,12.5,12.7,12.5,11.32,6000,DTL
22-07-13,12.5,12.5,12.5,12.5,11.32,0,DTL
23-07-13,12.6,12.6,12.6,12.6,11.41,5000,DTL
24-07-13,12.6,12.6,12.6,12.6,11.41,3000,DTL
25-07-13,12.6,12.6,12.6,12.6,11.41,2000,DTL
26-07-13,12.5,12.5,12.5,12.5,11.32,5000,DTL
29-07-13,12.5,12.5,12.5,12.5,11.32,200,DTL
30-07-13,12.5,12.3,12.5,12.3,11.14,16000,DTL
31-07-13,12.7,12.5,12.5,12.7,11.5,6000,DTL
01-08-13,12.7,12.7,12.7,12.7,11.5,0,DTL
02-08-13,12.7,12.7,12.7,12.7,11.5,2000,DTL
05-08-13,13.5,12.7,13.5,13.3,12.04,385010,DTL
06-08-13,13.3,12.7,13.3,12.7,11.5,101000,DTL
07-08-13,12.8,12.7,12.7,12.8,11.59,4760,DTL
08-08-13,12.8,12.8,12.8,12.8,11.59,10000,DTL
09-08-13,12.7,12.7,12.7,12.7,11.5,1000,DTL
12-08-13,12.7,12.7,12.7,12.7,11.5,1000,DTL
13-08-13,12.7,12.7,12.7,12.7,11.5,0,DTL
